model_name;family;parent_model;is_foundation_model;lineage_depth;architecture;parameter_count;parameter_mb/Gb;parameter_format;macro_task;primary_task;fine_tuning_method;publisher;license;quantized;description;fonte
facebook/wav2vec2-base-960h;wav2vec2;;VERO;0;wav2vec2 Transformer;95M;0.36 GB;safetensors;Audio;Speech Representation Learning;Pretraining;facebook;Apache-2.0;FALSO;"Foundation wav2vec2 model.
Pretrained on large-scale data.";https://huggingface.co/facebook/wav2vec2-base-960h
argish/wav2vec2-base-960h-speech-emotion-classification-E02_SER;wav2vec2;facebook/wav2vec2-base-960h;FALSO;1;wav2vec2 Transformer;95M;0.36 GB;safetensors;Audio;Speech Emotion Recognition;Full Fine-tuning;argish;Apache-2.0;FALSO;"Fine-tuned wav2vec2 model.
Specialized for speech emotion recognition.";https://huggingface.co/argish/wav2vec2-base-960h-speech-emotion-classification-E02_SER
Bhaveen/Musical-Instrument-Classification;wav2vec2;facebook/wav2vec2-base-960h;FALSO;1;wav2vec2 Transformer;95M;0.36 GB;safetensors;Audio;Music Classification;Full Fine-tuning;Bhaveen;Apache-2.0;FALSO;"Fine-tuned wav2vec2 model.
Specialized for music classification.";https://huggingface.co/Bhaveen/Musical-Instrument-Classification
Bhaveen/Musical-Instrument-Classification-v2;wav2vec2;Bhaveen/Musical-Instrument-Classification;FALSO;2;wav2vec2 Transformer;95M;0.36 GB;safetensors;Audio;Music Classification;Full Fine-tuning;Bhaveen;Apache-2.0;FALSO;"Fine-tuned wav2vec2 model.
Specialized for music classification.";https://huggingface.co/Bhaveen/Musical-Instrument-Classification-v2
faizandigi009/wav2vec2-base-960h-finetuned-ks;wav2vec2;facebook/wav2vec2-base-960h;FALSO;1;wav2vec2 Transformer;95M;0.36 GB;safetensors;Audio;Keyword Spotting;Full Fine-tuning;faizandigi009;Apache-2.0;FALSO;"Fine-tuned wav2vec2 model.
Specialized for keyword spotting.";https://huggingface.co/faizandigi009/wav2vec2-base-960h-finetuned-ks
faizandigi009/wav2vec2-base-960h-finetuned-ks-v2;wav2vec2;faizandigi009/wav2vec2-base-960h-finetuned-ks;FALSO;2;wav2vec2 Transformer;95M;0.36 GB;safetensors;Audio;Keyword Spotting;Full Fine-tuning;faizandigi009;Apache-2.0;FALSO;"Fine-tuned wav2vec2 model.
Specialized for keyword spotting.";https://huggingface.co/faizandigi009/wav2vec2-base-960h-finetuned-ks-v2
SiMenz/wav2vec2-base-960h-finetuned-gtzan;wav2vec2;facebook/wav2vec2-base-960h;FALSO;1;wav2vec2 Transformer;95M;0.36 GB;safetensors;Audio;Music Genre Classification;Full Fine-tuning;SiMenz;Apache-2.0;FALSO;"Fine-tuned wav2vec2 model.
Specialized for music genre classification.";https://huggingface.co/SiMenz/wav2vec2-base-960h-finetuned-gtzan
SiMenz/wav2vec2-base-960h-finetuned-gtzan2;wav2vec2;SiMenz/wav2vec2-base-960h-finetuned-gtzan;FALSO;2;wav2vec2 Transformer;95M;0.36 GB;safetensors;Audio;Music Genre Classification;Full Fine-tuning;SiMenz;Apache-2.0;FALSO;"Fine-tuned wav2vec2 model.
Specialized for music genre classification.";https://huggingface.co/SiMenz/wav2vec2-base-960h-finetuned-gtzan2
openai/whisper-small;Whisper;;VERO;0;Transformer;244M;0.5 GB;safetensors;Audio;Automatic Speech Recognition;Pretraining;openai;MIT;FALSO;"Foundation Whisper model.
Pretrained on large-scale data.";https://huggingface.co/openai/whisper-small
Dragneel/whisper-small-nepali;Whisper;openai/whisper-small;FALSO;1;Transformer;244M;0.5 GB;safetensors;Audio;ASR;Full Fine-tuning;Dragneel;MIT;FALSO;"Fine-tuned Whisper model.
Specialized for asr.";https://huggingface.co/Dragneel/whisper-small-nepali
alvanlii/whisper-small-cantonese;Whisper;openai/whisper-small;FALSO;1;Transformer;244M;0.5 GB;safetensors;Audio;ASR;Full Fine-tuning;alvanlii;MIT;FALSO;"Fine-tuned Whisper model.
Specialized for asr.";https://huggingface.co/alvanlii/whisper-small-cantonese
kiarashQ/fa-ir-stt-whisper-small-v1;Whisper;openai/whisper-small;FALSO;1;Transformer;244M;0.5 GB;safetensors;Audio;ASR;Full Fine-tuning;kiarashQ;MIT;FALSO;"Fine-tuned Whisper model.
Specialized for asr.";https://huggingface.co/kiarashQ/fa-ir-stt-whisper-small-v1
TheRains/special2;Whisper;openai/whisper-small;FALSO;1;Transformer;244M;0.5 GB;safetensors;Audio;ASR;Full Fine-tuning;TheRains;MIT;FALSO;"Fine-tuned Whisper model.
Specialized for asr.";https://huggingface.co/TheRains/special2
FlandersMakeAGV/whisper-small-keyword-spotting;Whisper;openai/whisper-small;FALSO;1;Transformer;244M;0.5 GB;safetensors;Audio;Keyword Spotting;Full Fine-tuning;FlandersMakeAGV;MIT;FALSO;"Fine-tuned Whisper model.
Specialized for keyword spotting.";https://huggingface.co/FlandersMakeAGV/whisper-small-keyword-spotting
ales/whisper-small-belarusian;Whisper;openai/whisper-small;FALSO;1;Transformer;244M;0.5 GB;safetensors;Audio;ASR;Full Fine-tuning;ales;MIT;FALSO;"Fine-tuned Whisper model.
Specialized for asr.";https://huggingface.co/ales/whisper-small-belarusian
openai/whisper-medium;Whisper;;VERO;0;Transformer;769M;1.5 GB;safetensors;Audio;Automatic Speech Recognition;Pretraining;openai;MIT;FALSO;"Foundation Whisper model.
Pretrained on large-scale data.";https://huggingface.co/openai/whisper-medium
smolLM3-3B-base;SmolLM3;;VERO;0;Transformer;3B;6 GB;safetensors;NLP;Language Modeling;Pretraining;SmolAI;Apache-2.0;FALSO;"Foundation SmolLM3 model.
Pretrained on large-scale data.";https://huggingface.co/smolLM3-3B-base
smolLM3-3B;SmolLM3;smolLM3-3B-base;FALSO;1;Transformer;3B;6 GB;safetensors;NLP;Chat;SFT;SmolAI;Apache-2.0;FALSO;"Fine-tuned SmolLM3 model.
Specialized for chat.";https://huggingface.co/smolLM3-3B
smolLM3-EMC2;SmolLM3;smolLM3-3B;FALSO;2;Transformer;3B;6 GB;safetensors;NLP;Emotion Modeling;SFT;SmolAI;Apache-2.0;FALSO;"Fine-tuned SmolLM3 model.
Specialized for emotion modeling.";https://huggingface.co/smolLM3-EMC2
Emotron-3B;SmolLM3;smolLM3-EMC2;FALSO;3;Transformer;3B;6 GB;safetensors;NLP;Emotion-Aware Chat;Alignment;Emotron;Apache-2.0;FALSO;"Fine-tuned SmolLM3 model.
Specialized for emotion-aware chat.";https://huggingface.co/Emotron-3B
;;;;;;;;;;;;;;;;
